time,source,device_name,fragment_series,value,unit,ObjectId
2019-08-02T00:42:20.059Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,1
2019-07-31T21:43:46.082Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,2
2019-07-25T15:43:40.429Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,3
2019-07-15T23:07:23.769Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.001,ppm,4
2019-08-16T15:59:53.798Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.011,ppm,5
2019-08-14T21:24:18.512Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,6
2019-08-21T00:14:11.579Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,7
2019-09-03T08:31:44.192Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,8
2019-07-07T01:11:23.960Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,9
2019-07-15T13:18:09.441Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,10
2019-08-18T01:09:35.783Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.023,ppm,11
2019-07-08T05:32:43.396Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.01,ppm,12
2019-08-25T09:08:36.326Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,13
2019-08-08T00:46:09.329Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.02,ppm,14
2019-08-19T06:47:58.377Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,15
2019-08-08T08:55:48.347Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,16
2019-07-15T01:25:47.695Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,17
2019-07-29T15:39:55.192Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,18
2019-09-01T12:32:10.666Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,19
2019-08-27T09:46:15.922Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,20
2019-07-17T16:56:52.696Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.014,ppm,21
2019-08-07T14:20:58.243Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.004,ppm,22
2019-07-10T15:59:54.628Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,23
2019-07-12T22:08:22.229Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.008,ppm,24
2019-07-18T02:25:09.226Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,25
2019-07-18T01:00:41.056Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,26
2019-07-28T10:03:45.450Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,27
2019-08-17T16:32:51.414Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,28
2019-08-18T07:56:22.055Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,29
2019-08-20T10:31:07.042Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,30
2019-07-27T09:53:47.360Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,31
2019-08-01T18:37:09.600Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,32
2019-07-06T17:53:01.178Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,33
2019-08-05T15:07:34.782Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,34
2019-07-19T01:12:50.401Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.021,ppm,35
2019-08-09T12:10:55.072Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.022,ppm,36
2019-07-10T15:09:18.063Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,37
2019-07-20T00:28:57.317Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.011,ppm,38
2019-07-15T15:46:21.685Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,39
2019-08-06T01:43:37.522Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,40
2019-08-15T02:49:29.121Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,41
2019-08-31T16:56:05.229Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,42
2019-08-03T14:51:33.031Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,43
2019-08-01T20:46:05.319Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.009,ppm,44
2019-07-11T02:29:37.496Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,45
2019-07-15T04:52:56.448Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,46
2019-07-16T01:38:22.526Z,12429,MQTT Device 2A6F18FDC337DE4F,NO2.v,0,ppm,47
2019-07-16T21:17:54.679Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0,ppm,48
2019-09-03T11:29:58.776Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,49
2019-07-25T00:39:18.389Z,11889,MQTT Device 5B5218FDC337DEC0,NO2.v,0.003,ppm,50
2019-08-23T10:52:16.009Z,11479,MQTT Device 502510FDC337DE59,NO2.v,0,ppm,51
2019-08-29T12:23:30.964Z,11479,MQTT Device 502510FDC337DE59,NO2.v,0,ppm,52
2019-09-03T01:06:11.531Z,12110,MQTT Device 3B6E10FDC337DE73,NO2.v,0,ppm,53
2019-08-26T01:50:41.390Z,11479,MQTT Device 502510FDC337DE59,NO2.v,0,ppm,54
